dataset,strategy,rank,improvability,norm_score
physiochemical_protein,baseline_xgboost,8.0,16.1,0.0
physiochemical_protein,baseline_lightgbm,9.0,16.7,0.0
physiochemical_protein,baseline_catboost,10.0,18.4,0.0
polish_companies_bankruptcy,combined_lightgbm,1.0,0.0,1.0
polish_companies_bankruptcy,combined_xgboost,2.0,5.9,0.7
polish_companies_bankruptcy,embed-only_lightgbm,3.0,12.3,0.329
polish_companies_bankruptcy,baseline_tabpfn,4.0,12.5,0.314
polish_companies_bankruptcy,embed-only_xgboost,5.0,13.0,0.286
polish_companies_bankruptcy,embed-only_catboost,6.0,21.2,0.0
polish_companies_bankruptcy,combined_catboost,7.0,27.4,0.0
polish_companies_bankruptcy,baseline_lightgbm,8.0,61.9,0.0
polish_companies_bankruptcy,baseline_catboost,9.0,68.7,0.0
polish_companies_bankruptcy,baseline_xgboost,10.0,68.7,0.0
qsar-biodeg,baseline_tabpfn,1.0,0.0,1.0
qsar-biodeg,baseline_lightgbm,2.0,1.7,0.935
qsar-biodeg,baseline_catboost,3.0,5.7,0.769
qsar-biodeg,baseline_xgboost,4.0,8.4,0.648
qsar-biodeg,combined_lightgbm,5.0,20.0,0.037
qsar-biodeg,combined_catboost,6.0,21.2,0.0
qsar-biodeg,combined_xgboost,7.0,28.5,0.0
qsar-biodeg,embed-only_catboost,8.0,48.2,0.0
qsar-biodeg,embed-only_lightgbm,9.0,50.5,0.0
qsar-biodeg,embed-only_xgboost,10.0,51.6,0.0
qsar-tid-11,embed-only_xgboost,1.0,0.0,1.0
qsar-tid-11,embed-only_catboost,2.0,0.0,0.991
qsar-tid-11,combined_catboost,3.0,0.0,0.918
qsar-tid-11,combined_xgboost,4.0,0.1,0.818
qsar-tid-11,baseline_tabpfn,5.0,0.4,0.065
qsar-tid-11,combined_lightgbm,6.0,0.4,0.0
qsar-tid-11,embed-only_lightgbm,7.0,0.5,0.0
qsar-tid-11,baseline_xgboost,8.0,4.1,0.0
qsar-tid-11,baseline_lightgbm,9.0,4.2,0.0
qsar-tid-11,baseline_catboost,10.0,6.2,0.0
qsar_fish_toxicity,baseline_tabpfn,1.0,0.0,1.0
qsar_fish_toxicity,combined_xgboost,2.0,5.1,0.13
qsar_fish_toxicity,embed-only_catboost,3.0,5.3,0.11
qsar_fish_toxicity,combined_lightgbm,4.0,5.6,0.051
qsar_fish_toxicity,embed-only_lightgbm,5.0,5.7,0.027
qsar_fish_toxicity,combined_catboost,6.0,6.0,0.0
qsar_fish_toxicity,embed-only_xgboost,7.0,6.6,0.0
qsar_fish_toxicity,baseline_catboost,8.0,9.1,0.0
qsar_fish_toxicity,baseline_lightgbm,9.0,9.6,0.0
qsar_fish_toxicity,baseline_xgboost,10.0,10.1,0.0
sdss17,combined_lightgbm,1.0,0.0,1.0
sdss17,combined_xgboost,2.0,1.0,0.745
sdss17,baseline_tabpfn,3.0,1.8,0.556
sdss17,combined_catboost,4.0,3.2,0.188
sdss17,embed-only_lightgbm,5.0,3.3,0.158
sdss17,embed-only_xgboost,6.0,4.5,0.0
sdss17,embed-only_catboost,7.0,6.3,0.0
sdss17,baseline_lightgbm,8.0,16.9,0.0
sdss17,baseline_catboost,9.0,17.3,0.0
sdss17,baseline_xgboost,10.0,19.4,0.0
seismic-bumps,baseline_xgboost,1.0,0.0,1.0
seismic-bumps,combined_xgboost,2.0,1.8,0.723
seismic-bumps,embed-only_lightgbm,3.0,4.2,0.327
seismic-bumps,baseline_tabpfn,4.0,5.4,0.133
seismic-bumps,combined_lightgbm,5.0,5.8,0.056
seismic-bumps,embed-only_catboost,6.0,6.4,0.0
seismic-bumps,baseline_catboost,7.0,7.8,0.0
seismic-bumps,combined_catboost,8.0,11.4,0.0
seismic-bumps,baseline_lightgbm,9.0,11.6,0.0
seismic-bumps,embed-only_xgboost,10.0,13.6,0.0
splice,baseline_lightgbm,1.0,0.0,1.0
splice,combined_lightgbm,2.0,8.3,0.568
splice,baseline_catboost,3.0,8.4,0.562
splice,baseline_tabpfn,4.0,10.7,0.423
splice,combined_catboost,5.0,12.5,0.314
splice,embed-only_lightgbm,6.0,21.5,0.0
splice,embed-only_xgboost,7.0,25.9,0.0
splice,embed-only_catboost,8.0,26.3,0.0
splice,combined_xgboost,9.0,65.9,0.0
splice,baseline_xgboost,10.0,83.5,0.0
students_dropout_and_academic_success,combined_lightgbm,1.0,0.0,1.0
students_dropout_and_academic_success,combined_catboost,2.0,0.6,0.829
students_dropout_and_academic_success,baseline_tabpfn,3.0,0.9,0.73
students_dropout_and_academic_success,baseline_lightgbm,4.0,2.6,0.226
students_dropout_and_academic_success,baseline_catboost,5.0,2.7,0.187
