dataset,task_type,algorithm,mode,dataset_samples_count,dataset_raw_features_count,pca_n_components,feat_total_count,feat_share_embedded_pct,feat_share_raw_pct,primary_metric,eval_primary_value,tabpfn_primary_score,eval_primary_delta_pct
hiva_agnostic,multiclass,lightgbm,combined,3845,1617,49,1666,92.90423298819962,7.095767011800376,Log_Loss,0.1719542134730627,0.1799557261900017,-4.446378498948585
hiva_agnostic,multiclass,xgboost,combined,3845,1617,49,1666,67.41185324111215,32.58814675888788,Log_Loss,0.1743098646402359,0.1799557261900017,-3.1373614328920016
houses,regression,catboost,combined,20640,8,77,85,98.59508068153956,1.4049193184604434,RMSE,0.1772155409197353,0.1761687030418292,0.5942246606978133
houses,regression,lightgbm,combined,20640,8,77,85,83.7326361727428,16.267363827257174,RMSE,0.1769905199685653,0.1761687030418292,0.4664942822113804
houses,regression,xgboost,combined,20640,8,77,85,85.1425467523632,14.857453247636762,RMSE,0.1780323434598321,0.1761687030418292,1.0578725879365496
hr_analytics_job_change_of_data_scientists,binary,lightgbm,combined,19158,12,36,48,50.785738080598,49.214261919402,1-AUROC,0.211889384484638,0.2034192467065935,4.163882186753748
hr_analytics_job_change_of_data_scientists,binary,xgboost,combined,19158,12,36,48,62.4812699380362,37.51873006196382,1-AUROC,0.2523452840455171,0.2034192467065935,24.051823085105244
hr_analytics_job_change_of_data_scientists,binary,catboost,combined,19158,12,36,48,72.39965263688093,27.600347363119063,1-AUROC,0.2158380148023592,0.2034192467065935,6.105011348153401
in_vehicle_coupon_recommendation,binary,catboost,combined,12684,24,58,82,84.58121535740919,15.418784642590794,1-AUROC,0.1432038834951454,0.1297034813393371,10.408665994467643
in_vehicle_coupon_recommendation,binary,lightgbm,combined,12684,24,58,82,75.05274229487803,24.94725770512196,1-AUROC,0.1398881563531118,0.1297034813393371,7.852275751279901
in_vehicle_coupon_recommendation,binary,xgboost,combined,12684,24,58,82,78.56230258730182,21.43769741269817,1-AUROC,0.1381639529066048,0.1297034813393371,6.522933293619902
is-this-a-good-customer,binary,catboost,combined,1723,13,31,44,76.026890388173,23.97310961182702,1-AUROC,0.2376403552874141,0.2248198424669012,5.702571748043265
is-this-a-good-customer,binary,lightgbm,combined,1723,13,31,44,73.47770641274654,26.522293587253444,1-AUROC,0.257583375230434,0.2248198424669012,14.57323891166608
is-this-a-good-customer,binary,xgboost,combined,1723,13,31,44,84.23315703403748,15.76684296596253,1-AUROC,0.278196748784984,0.2248198424669012,23.742079761461056
jm1,binary,catboost,combined,10885,21,42,63,75.74915136499482,24.250848635005177,1-AUROC,0.2386368555181014,0.2203148756350808,8.316269988672174
jm1,binary,lightgbm,combined,10885,21,42,63,70.07959967917634,29.920400320823653,1-AUROC,0.2346464649197321,0.2203148756350808,6.505048396454882
jm1,binary,xgboost,combined,10885,21,42,63,76.84879713077814,23.15120286922181,1-AUROC,0.2332883794415076,0.2203148756350808,5.888619081679948
kddcup09_appetency,binary,catboost,combined,50000,212,36,248,51.03415895509624,48.96584104490377,1-AUROC,0.1727942774647147,0.1837053484610333,-5.939441114657043
kddcup09_appetency,binary,lightgbm,combined,50000,212,36,248,19.221409664846966,80.77859033515301,1-AUROC,0.1814048490089891,0.1837053484610333,-1.2522767961392354
kddcup09_appetency,binary,xgboost,combined,50000,212,36,248,30.384643052615864,69.61535694738417,1-AUROC,0.1766042294413597,0.1837053484610333,-3.8654938896239255
marketing_campaign,binary,catboost,combined,2240,25,42,67,73.80236609485361,26.19763390514637,1-AUROC,0.1005406040662827,0.0998942296392054,0.6470588235294675
marketing_campaign,binary,lightgbm,combined,2240,25,42,67,59.32518294756701,40.67481705243298,1-AUROC,0.0922356720335331,0.0998942296392054,-7.666666666666604
marketing_campaign,binary,xgboost,combined,2240,25,42,67,73.8702600341629,26.12973996583712,1-AUROC,0.1008539977278959,0.0998942296392054,0.9607843137255564
maternal_health_risk,multiclass,catboost,combined,1014,6,38,44,68.956300926205,31.04369907379499,Log_Loss,0.3993829424711606,0.3257780531886837,22.59356901486744
maternal_health_risk,multiclass,lightgbm,combined,1014,6,38,44,73.916950456755,26.08304954324496,Log_Loss,0.4048124860253289,0.3257780531886837,24.260207851039635
maternal_health_risk,multiclass,xgboost,combined,1014,6,38,44,66.70968399733061,33.29031600266939,Log_Loss,0.4315583407878876,0.3257780531886837,32.47004718821195
miami_housing,regression,catboost,combined,13776,15,73,88,95.7104388551378,4.289561144862229,RMSE,78983.38728155308,80937.77470144341,-2.4146789643025386
miami_housing,regression,lightgbm,combined,13776,15,73,88,77.00743101527569,22.992568984724297,RMSE,80665.2553242765,80937.77470144341,-0.336702334814815
miami_housing,regression,xgboost,combined,13776,15,73,88,93.74247114375892,6.257528856241097,RMSE,79912.36201999974,80937.77470144341,-1.26691484319421
mic,multiclass,catboost,combined,1699,111,30,141,45.5992234641276,54.4007765358724,Log_Loss,0.4470070663408204,0.4552343217032848,-1.807257267352284
mic,multiclass,lightgbm,combined,1699,111,30,141,36.41076863859601,63.589231361404,Log_Loss,0.4492768435681904,0.4552343217032848,-1.308661902469087
mic,multiclass,xgboost,combined,1699,111,30,141,54.21803168876816,45.78196831123181,Log_Loss,0.4473753571510315,0.4552343217032848,-1.7263558957612464
naticusdroid,binary,catboost,combined,7491,86,36,122,33.28561841270842,66.71438158729157,1-AUROC,0.0158570450767576,0.0105319252957856,50.56169343607972
naticusdroid,binary,lightgbm,combined,7491,86,36,122,23.68598360150466,76.3140163984953,1-AUROC,0.0135083602229393,0.0105319252957856,28.26107139541471
naticusdroid,binary,xgboost,combined,7491,86,36,122,36.601114422484905,63.39888557751509,1-AUROC,0.0162892343795834,0.0105319252957856,54.665304985609765
online_shoppers_intention,binary,catboost,combined,12330,17,21,38,56.47366197096482,43.52633802903515,1-AUROC,0.0635520193747424,0.0607357478067751,4.6369258133232485
online_shoppers_intention,binary,lightgbm,combined,12330,17,21,38,43.10035083809195,56.899649161908044,1-AUROC,0.0619353639296158,0.0607357478067751,1.975140121197088
online_shoppers_intention,binary,xgboost,combined,12330,17,21,38,36.88356344648782,63.11643655351218,1-AUROC,0.0636236194993518,0.0607357478067751,4.754813757729847
physiochemical_protein,regression,catboost,combined,45730,9,87,96,97.66976191452314,2.3302380854768567,RMSE,2.814966487720705,2.826860212970685,-0.4207397732440887
physiochemical_protein,regression,lightgbm,combined,45730,9,87,96,98.10844563594804,1.8915543640520285,RMSE,2.822314795859768,2.826860212970685,-0.1607938408153873
physiochemical_protein,regression,xgboost,combined,45730,9,87,96,94.55174359455737,5.448256405442641,RMSE,2.823434507830691,2.826860212970685,-0.1211841011549137
polish_companies_bankruptcy,binary,catboost,combined,5910,64,52,116,67.25083824863007,32.74916175136991,1-AUROC,0.020720620842572,0.0171951219512194,20.50290135396602
polish_companies_bankruptcy,binary,lightgbm,combined,5910,64,52,116,62.94960004538992,37.05039995461009,1-AUROC,0.0150443458980044,0.0171951219512194,-12.508059316569623
polish_companies_bankruptcy,binary,xgboost,combined,5910,64,52,116,77.68476853700588,22.31523146299413,1-AUROC,0.0159866962305986,0.0171951219512194,-7.027724049000103
qsar-biodeg,binary,catboost,combined,1054,41,45,86,46.626200871080485,53.37379912891953,1-AUROC,0.0531187122736417,0.041851106639839,26.92307692307661
qsar-biodeg,binary,lightgbm,combined,1054,41,45,86,44.19566229372685,55.80433770627319,1-AUROC,0.0523138832997988,0.041851106639839,25.0
qsar-biodeg,binary,xgboost,combined,1054,41,45,86,51.2176943081037,48.78230569189628,1-AUROC,0.0585513078470825,0.041851106639839,39.90384615384617
qsar-tid-11,regression,catboost,combined,5742,1024,41,1065,85.95728360520133,14.04271639479862,RMSE,0.6711319962254191,0.6735581320258458,-0.3601969429319613
qsar-tid-11,regression,lightgbm,combined,5742,1024,41,1065,98.18289272515554,1.817107274844497,RMSE,0.6739301916334305,0.6735581320258458,0.0552379356575577
qsar-tid-11,regression,xgboost,combined,5742,1024,41,1065,96.59394848996531,3.406051510034632,RMSE,0.671415882614247,0.6735581320258458,-0.3180496693218742
qsar_fish_toxicity,regression,catboost,combined,907,6,75,81,92.07181870862114,7.928181291378855,RMSE,0.8967370162690773,0.8427904535011612,6.400946112264164
qsar_fish_toxicity,regression,lightgbm,combined,907,6,75,81,72.32179574734334,27.678204252656627,RMSE,0.8926158370005411,0.8427904535011612,5.911953949216307
qsar_fish_toxicity,regression,xgboost,combined,907,6,75,81,80.77381035467201,19.226189645328034,RMSE,0.8884946279559683,0.8427904535011612,5.422958253138797
sdss17,multiclass,catboost,combined,78053,11,21,32,49.33692573151578,50.663074268484216,Log_Loss,0.0644853332267292,0.0635434792594842,1.4822196993633543
sdss17,multiclass,lightgbm,combined,78053,11,21,32,55.30778221536109,44.69221778463891,Log_Loss,0.0624072421855011,0.0635434792594842,-1.7881253705721367
sdss17,multiclass,xgboost,combined,78053,11,21,32,47.72643118174635,52.27356881825364,Log_Loss,0.0630601048469543,0.0635434792594842,-0.760698687202865
seismic-bumps,binary,catboost,combined,2584,15,25,40,58.02580317800171,41.9741968219983,1-AUROC,0.2394349043965412,0.2241505297771281,6.818799239337202
seismic-bumps,binary,lightgbm,combined,2584,15,25,40,47.75211971698776,52.24788028301224,1-AUROC,0.225216173425892,0.2241505297771281,0.475414289595256
seismic-bumps,binary,xgboost,combined,2584,15,25,40,70.21354848846212,29.78645151153788,1-AUROC,0.2159907441237365,0.2241505297771281,-3.6403151317575886
splice,multiclass,catboost,combined,3190,60,33,93,41.68365377524216,58.316346224757815,Log_Loss,0.1067107279202262,0.1045865260460338,2.0310473581055963
splice,multiclass,lightgbm,combined,3190,60,33,93,38.46486385674093,61.53513614325908,Log_Loss,0.1017659203746744,0.1045865260460338,-2.69691113950749
splice,multiclass,xgboost,combined,3190,60,33,93,37.00026703908928,62.99973296091074,Log_Loss,0.2739691138267517,0.1045865260460338,161.95450234781111
students_dropout_and_academic_success,multiclass,catboost,combined,4424,36,29,65,40.20723497932424,59.79276502067576,Log_Loss,0.5306149617954237,0.5324069501376939,-0.3365824472814979
students_dropout_and_academic_success,multiclass,lightgbm,combined,4424,36,29,65,48.674100917906486,51.32589908209352,Log_Loss,0.5275395561950518,0.5324069501376939,-0.9142243431238636
students_dropout_and_academic_success,multiclass,xgboost,combined,4424,36,29,65,39.02515885763027,60.97484114236973,Log_Loss,0.5620919466018677,0.5324069501376939,5.575621515928085
superconductivity,regression,catboost,combined,21263,81,70,151,92.50810322199445,7.491896778005592,RMSE,8.734822635214133,8.967884575443701,-2.598850802203116
superconductivity,regression,lightgbm,combined,21263,81,70,151,75.75592271482853,24.244077285171503,RMSE,8.929109126394765,8.967884575443701,-0.4323812234951469
superconductivity,regression,xgboost,combined,21263,81,70,151,65.839158596409,34.160841403590986,RMSE,8.903272719470293,8.967884575443701,-0.7204804592415488
taiwanese_bankruptcy_prediction,binary,catboost,combined,6819,94,32,126,21.84051968827748,78.15948031172248,1-AUROC,0.0434917355371899,0.0431818181818181,0.7177033492822764
taiwanese_bankruptcy_prediction,binary,lightgbm,combined,6819,94,32,126,23.563873777209466,76.43612622279049,1-AUROC,0.0446280991735537,0.0431818181818181,3.3492822966508804
taiwanese_bankruptcy_prediction,binary,xgboost,combined,6819,94,32,126,23.55625884805568,76.44374115194432,1-AUROC,0.0378443526170798,0.0431818181818181,-12.360446570972794
website_phishing,multiclass,catboost,combined,1353,9,27,36,71.93671158744742,28.063288412552563,Log_Loss,0.3077645358287081,0.2672696354377883,15.151328479417067
website_phishing,multiclass,lightgbm,combined,1353,9,27,36,57.744545249156914,42.25545475084309,Log_Loss,0.2942523890260506,0.2672696354377883,10.095704865262558
website_phishing,multiclass,xgboost,combined,1353,9,27,36,63.995607502578224,36.00439249742177,Log_Loss,0.3076291084289551,0.2672696354377883,15.100657777699958
wine_quality,regression,catboost,combined,6497,12,25,37,89.46930680544246,10.530693194557513,RMSE,0.567375187040876,0.5665150098489219,0.1518366110340965
wine_quality,regression,lightgbm,combined,6497,12,25,37,90.75124749172686,9.248752508273116,RMSE,0.5665445830199877,0.5665150098489219,0.0052201919722593
wine_quality,regression,xgboost,combined,6497,12,25,37,93.92765767701368,6.0723423229863,RMSE,0.5674903008243241,0.5665150098489219,0.1721562462506078
